column,dtype,missing_pct
subject_id,int64,0.0
hadm_id,int64,0.0
stay_id,int64,0.0
icu_intime,datetime64[ns],0.0
anchor_time,datetime64[ns],0.0
obs_window_start,datetime64[ns],0.0
obs_window_end,datetime64[ns],0.0
pred_window_start,datetime64[ns],0.0
pred_window_end,datetime64[ns],0.0
future_aki_24h,int64,0.0
admission_age,int64,0.0
gender,object,0.0
race,object,0.0
admission_type,object,0.0
admission_location,object,0.0
insurance,object,0.0
language,object,0.0
marital_status,object,9.82
ckd_flag,int64,0.0
diabetes_flag,int64,0.0
hypertension_flag,int64,0.0
chf_flag,int64,0.0
liver_disease_flag,int64,0.0
sepsis_infection_flag,int64,0.0
chronic_pulmonary_flag,int64,0.0
creatinine_first_6h,float64,27.62
creatinine_last_6h,float64,27.62
creatinine_min_6h,float64,27.62
creatinine_max_6h,float64,27.62
creatinine_mean_6h,float64,27.62
creatinine_count_6h,float64,27.62
creatinine_delta_6h,float64,27.62
bun_first_6h,float64,27.71
bun_last_6h,float64,27.71
bun_min_6h,float64,27.71
bun_max_6h,float64,27.71
bun_mean_6h,float64,27.71
bun_count_6h,float64,27.71
bun_delta_6h,float64,27.71
bicarbonate_first_6h,float64,27.92
bicarbonate_last_6h,float64,27.92
bicarbonate_min_6h,float64,27.92
bicarbonate_max_6h,float64,27.92
bicarbonate_mean_6h,float64,27.92
bicarbonate_count_6h,float64,27.92
bicarbonate_delta_6h,float64,27.92
potassium_first_6h,float64,32.87
potassium_last_6h,float64,32.87
potassium_min_6h,float64,32.87
potassium_max_6h,float64,32.87
potassium_mean_6h,float64,32.87
potassium_count_6h,float64,32.87
potassium_delta_6h,float64,32.87
sodium_first_6h,float64,33.08
sodium_last_6h,float64,33.08
sodium_min_6h,float64,33.08
sodium_max_6h,float64,33.08
sodium_mean_6h,float64,33.08
sodium_count_6h,float64,33.08
sodium_delta_6h,float64,33.08
chloride_first_6h,float64,27.27
chloride_last_6h,float64,27.27
chloride_min_6h,float64,27.27
chloride_max_6h,float64,27.27
chloride_mean_6h,float64,27.27
chloride_count_6h,float64,27.27
chloride_delta_6h,float64,27.27
calcium_first_6h,float64,43.02
calcium_last_6h,float64,43.02
calcium_min_6h,float64,43.02
calcium_max_6h,float64,43.02
calcium_mean_6h,float64,43.02
calcium_count_6h,float64,43.02
calcium_delta_6h,float64,43.02
glucose_first_6h,float64,24.5
glucose_last_6h,float64,24.5
glucose_min_6h,float64,24.5
glucose_max_6h,float64,24.5
glucose_mean_6h,float64,24.5
glucose_count_6h,float64,24.5
glucose_delta_6h,float64,24.5
lactate_first_6h,float64,51.68
lactate_last_6h,float64,51.68
lactate_min_6h,float64,51.68
lactate_max_6h,float64,51.68
lactate_mean_6h,float64,51.68
lactate_count_6h,float64,51.68
lactate_delta_6h,float64,51.68
hemoglobin_first_6h,float64,28.67
hemoglobin_last_6h,float64,28.67
hemoglobin_min_6h,float64,28.67
hemoglobin_max_6h,float64,28.67
hemoglobin_mean_6h,float64,28.67
hemoglobin_count_6h,float64,28.67
hemoglobin_delta_6h,float64,28.67
hematocrit_first_6h,float64,26.93
hematocrit_last_6h,float64,26.93
hematocrit_min_6h,float64,26.93
hematocrit_max_6h,float64,26.93
hematocrit_mean_6h,float64,26.93
hematocrit_count_6h,float64,26.93
hematocrit_delta_6h,float64,26.93
platelets_first_6h,float64,28.38
platelets_last_6h,float64,28.38
platelets_min_6h,float64,28.38
platelets_max_6h,float64,28.38
platelets_mean_6h,float64,28.38
platelets_count_6h,float64,28.38
platelets_delta_6h,float64,28.38
heart_rate_first_6h,float64,2.27
heart_rate_last_6h,float64,2.27
heart_rate_min_6h,float64,2.27
heart_rate_max_6h,float64,2.27
heart_rate_mean_6h,float64,2.27
heart_rate_count_6h,float64,2.0
sbp_first_6h,float64,2.29
sbp_last_6h,float64,2.29
sbp_min_6h,float64,2.29
sbp_max_6h,float64,2.29
sbp_mean_6h,float64,2.29
sbp_count_6h,float64,2.0
dbp_first_6h,float64,2.29
dbp_last_6h,float64,2.29
dbp_min_6h,float64,2.29
dbp_max_6h,float64,2.29
dbp_mean_6h,float64,2.29
dbp_count_6h,float64,2.0
mbp_first_6h,float64,2.34
mbp_last_6h,float64,2.34
mbp_min_6h,float64,2.34
mbp_max_6h,float64,2.34
mbp_mean_6h,float64,2.34
mbp_count_6h,float64,2.0
resp_rate_first_6h,float64,2.36
resp_rate_last_6h,float64,2.36
resp_rate_min_6h,float64,2.36
resp_rate_max_6h,float64,2.36
resp_rate_mean_6h,float64,2.36
resp_rate_count_6h,float64,2.0
temperature_first_6h,float64,7.38
temperature_last_6h,float64,7.38
temperature_min_6h,float64,7.38
temperature_max_6h,float64,7.38
temperature_mean_6h,float64,7.38
temperature_count_6h,float64,2.0
spo2_first_6h,float64,2.43
spo2_last_6h,float64,2.43
spo2_min_6h,float64,2.43
spo2_max_6h,float64,2.43
spo2_mean_6h,float64,2.43
spo2_count_6h,float64,2.0
urine_total_6h,float64,11.59
urine_count_6h,float64,11.59
weight_used_for_uo_norm,float64,7.24
urine_rate_6h,float64,17.98
oliguria_like_6h,float64,7.24
